country1,country2,p_dist
Macedonia,Bedouin,0.018662330604759646
Mozabite,Bedouin,0.011962119374164241
North_Morocco,Bedouin,0.013994916328172296
Palestinian,Bedouin,0.14076964716282764
Peloponnese,Bedouin,0.022838590587677336
Russia,Bedouin,0.005829031989868486
Sahara,Bedouin,0.012778661914861638
Sardinia,Bedouin,0.012771551125110202
SE_Laconia,Bedouin,0.0030776341003723533
Serbia,Bedouin,0.016255705910641686
Sicily,Bedouin,0.01582526279704787
South_Morocco,Bedouin,0.013994916328172296
Tunisia,Bedouin,0.013657685617789413
Tuscany,Bedouin,0.012830414101405138
Yemenite,Bedouin,0.12813908816560135
Algeria,Cappadocia,0.012440552437041308
Basque,Cappadocia,0.018447518920645348
Bedouin,Cappadocia,0.009371109025214147
Cappadocia,Cappadocia,0.1398873620280671
Chuvash,Cappadocia,0.007868223002094126
Crete,Cappadocia,0.01842524652448949
Denmark,Cappadocia,0.014645601806854144
Dodecanese,Cappadocia,0.016572267626417076
Druze,Cappadocia,0.00973990608001839
Rumelia,Cappadocia,0.021672763120160223
Egypt,Cappadocia,0.009888677440247127
Finland,Cappadocia,0.008984399205563709
France,Cappadocia,0.02159487972303346
Hungary,Cappadocia,0.029613952648484675
Ireland,Cappadocia,0.011277362500352195
Italy,Cappadocia,0.2550775455604505
Libya,Cappadocia,0.012947523263444333
Macedonia,Cappadocia,0.03205322481212597
Mozabite,Cappadocia,0.02603980232179636
North_Morocco,Cappadocia,0.004864065708528164
Palestinian,Cappadocia,0.010236305365751076
Peloponnese,Cappadocia,0.024377727427465204
Russia,Cappadocia,0.003993685609149776
Sahara,Cappadocia,0.010177349048567758
Sardinia,Cappadocia,0.05436419932524721
SE_Laconia,Cappadocia,0.0026197476052496702
Serbia,Cappadocia,0.03520381326706279
Sicily,Cappadocia,0.04560877336220697
South_Morocco,Cappadocia,0.004864065708528164
Tunisia,Cappadocia,0.023326109898127122
Tuscany,Cappadocia,0.09382270678274181
Yemenite,Cappadocia,0.009993532844874494
Algeria,Chuvash,0.012914830842076789
Basque,Chuvash,0.01700187678971171
Bedouin,Chuvash,0.019686098910989602
Cappadocia,Chuvash,0.02095717198560099
Chuvash,Chuvash,0.3725928337127678
Crete,Chuvash,0.021218356537088943
Denmark,Chuvash,0.026155422680291363
Dodecanese,Chuvash,0.023189614187934353
Druze,Chuvash,0.02258703789512654
Rumelia,Chuvash,0.02754942010091809
Egypt,Chuvash,0.016902863759062813
Finland,Chuvash,0.040646505868893484
France,Chuvash,0.01842229137488111
Hungary,Chuvash,0.02839170133204179
Ireland,Chuvash,0.017060656324113545
Italy,Chuvash,0.02105082465175471
Libya,Chuvash,0.015211000499421945
Macedonia,Chuvash,0.024995948071247293
Mozabite,Chuvash,0.01609757480880405
North_Morocco,Chuvash,0.016404717515123315
Palestinian,Chuvash,0.021062384957045197
Peloponnese,Chuvash,0.02186393680432866
Russia,Chuvash,0.020602729627215287
Sahara,Chuvash,0.01249903687018618
Sardinia,Chuvash,0.01836931624258788
SE_Laconia,Chuvash,0.006434800693440436
Serbia,Chuvash,0.02649232499159217
Sicily,Chuvash,0.018959963679381
South_Morocco,Chuvash,0.016404717515123315
Tunisia,Chuvash,0.015961175477171033
Tuscany,Chuvash,0.02079853318901581
Yemenite,Chuvash,0.02151433210506273
Algeria,Crete,0.014223711656393963
Basque,Crete,0.012785290525407238
Bedouin,Crete,0.026114055575125174
Cappadocia,Crete,0.025438963096822
Chuvash,Crete,0.010998711828646788
Crete,Crete,0.1931365985043381
Denmark,Crete,0.012398210685203945
Dodecanese,Crete,0.10734109615180126
Druze,Crete,0.02656388378517662
Rumelia,Crete,0.04341140742442864
Egypt,Crete,0.02816111303103014
Finland,Crete,0.009998501418290126
France,Crete,0.013726918725902594
Hungary,Crete,0.02249411630226921
Ireland,Crete,0.009700931447114673
Italy,Crete,0.02383771442008558
Libya,Crete,0.027805369675240547
Macedonia,Crete,0.04199942559859266
Mozabite,Crete,0.018530870536151465
North_Morocco,Crete,0.008828445741814735
Palestinian,Crete,0.03089788767113683
Peloponnese,Crete,0.10256510272316285
Russia,Crete,0.005419016108056595
Sahara,Crete,0.015303367983494649
Sardinia,Crete,0.02131269960627591
SE_Laconia,Crete,0.003166771907593136
Serbia,Crete,0.029961976934269087
Sicily,Crete,0.03246015374637392
South_Morocco,Crete,0.008828445741814735
Tunisia,Crete,0.02235671080926695
Tuscany,Crete,0.021309699436243022
Yemenite,Crete,0.028922831202476924
Algeria,Denmark,0.015311312258608243
Basque,Denmark,0.03415599379148328
Bedouin,Denmark,0.013635990106779215
Cappadocia,Denmark,0.031168858573030093
Chuvash,Denmark,0.020898706259684766
Crete,Denmark,0.019111139843217165
Denmark,Denmark,0.29770913211408917
Dodecanese,Denmark,0.01921539263480938
Druze,Denmark,0.014632475787108312
Rumelia,Denmark,0.024971113726152325
Egypt,Denmark,0.013279202453172281
Finland,Denmark,0.039392780841783104
France,Denmark,0.04104855294678502
Hungary,Denmark,0.04211667309330049
Ireland,Denmark,0.0389746517299
Italy,Denmark,0.03283635529598037
Libya,Denmark,0.014674463170525648
Macedonia,Denmark,0.027093017408670424
Mozabite,Denmark,0.022429876591676785
North_Morocco,Denmark,0.009066992011508774
Palestinian,Denmark,0.01462223514316561
Peloponnese,Denmark,0.021548923936703143
Russia,Denmark,0.010532587467278039
Sahara,Denmark,0.012912000832802036
Sardinia,Denmark,0.0276172666532307
SE_Laconia,Denmark,0.006300573513226582
Serbia,Denmark,0.03253051154554937
Sicily,Denmark,0.02359571022066875
South_Morocco,Denmark,0.009066992011508774
Tunisia,Denmark,0.01974460606890971
Tuscany,Denmark,0.03524471755138323
Yemenite,Denmark,0.014561194417309251
Algeria,Dodecanese,0.013050990381372713
Basque,Dodecanese,0.012500090181789986
Bedouin,Dodecanese,0.030349073138525
Cappadocia,Dodecanese,0.02372919107092326
Chuvash,Dodecanese,0.012466326618190832
Crete,Dodecanese,0.11132198024433096
Denmark,Dodecanese,0.01292815593992709
Dodecanese,Dodecanese,0.200299320334418
Druze,Dodecanese,0.03363944153523954
Rumelia,Dodecanese,0.05420495791628032
Egypt,Dodecanese,0.028130213204275393
Finland,Dodecanese,0.010812727016537276
France,Dodecanese,0.013489559440685289
Hungary,Dodecanese,0.023774392811862687
Ireland,Dodecanese,0.009792171807101324
Italy,Dodecanese,0.022500228472566473
Libya,Dodecanese,0.023376097882263643
Macedonia,Dodecanese,0.04288885743834984
Mozabite,Dodecanese,0.016835956859206646
North_Morocco,Dodecanese,0.009765348904977017
Palestinian,Dodecanese,0.03811618567223103
Peloponnese,Dodecanese,0.06921385185074139
Russia,Dodecanese,0.005871374549795733
Sahara,Dodecanese,0.013939874204450631
Sardinia,Dodecanese,0.019546803430654243
SE_Laconia,Dodecanese,0.003249043268206071
Serbia,Dodecanese,0.031280507132577344
Sicily,Dodecanese,0.027335292962978597
South_Morocco,Dodecanese,0.009765348904977017
Tunisia,Dodecanese,0.019442869011691285
Tuscany,Dodecanese,0.02035171713190898
Yemenite,Dodecanese,0.03603205068096442
Algeria,Druze,0.009822250089912984
Basque,Druze,0.009101794676298633
Bedouin,Druze,0.08104998663445244
Cappadocia,Druze,0.0138999341874771
Chuvash,Druze,0.012102113960638828
Crete,Druze,0.02745765528934295
Denmark,Druze,0.00981210332375454
Dodecanese,Druze,0.03352785402121705
Druze,Druze,0.19963489482089997
Rumelia,Druze,0.02307552711715563
Egypt,Druze,0.03168041004880433
Finland,Druze,0.00922182525721054
France,Druze,0.009646474638596216
Hungary,Druze,0.014782703878554286
Ireland,Druze,0.007656063659609439
Italy,Druze,0.013485739422114822
Libya,Druze,0.01682255148860642
Macedonia,Druze,0.01936317689213345
Mozabite,Druze,0.011283268592218535
North_Morocco,Druze,0.013665552335577586
Palestinian,Druze,0.11952703817922539
Peloponnese,Druze,0.022627830996738936
Russia,Druze,0.005945158857905389
Sahara,Druze,0.011113910220991454
Sardinia,Druze,0.012327659636054053
SE_Laconia,Druze,0.002968734197111384
Serbia,Druze,0.016935673322577526
Sicily,Druze,0.015131251781250455
South_Morocco,Druze,0.013665552335577586
Tunisia,Druze,0.01263458966579267
Tuscany,Druze,0.01269459180769156
Yemenite,Druze,0.18733612866450775
Algeria,Rumelia,0.012587544197632161
Basque,Rumelia,0.014638374053149834
Bedouin,Rumelia,0.02021105223864559
Cappadocia,Rumelia,0.03107310327727828
Chuvash,Rumelia,0.01482950957229565
Crete,Rumelia,0.04508043648744529
Denmark,Rumelia,0.016822656629755076
Dodecanese,Rumelia,0.05427606583857152
Druze,Rumelia,0.023182699178982767
Rumelia,Rumelia,0.20056207985038918
Egypt,Rumelia,0.01854908997136545
Finland,Rumelia,0.013446576258611915
France,Rumelia,0.01629859432037194
Hungary,Rumelia,0.040873821891988
Ireland,Rumelia,0.011498710737638529
Italy,Rumelia,0.0296737576909986
Libya,Rumelia,0.01802914033619784
Macedonia,Rumelia,0.09522848858860837
Mozabite,Rumelia,0.017937259338849994
North_Morocco,Rumelia,0.0088989746019525
Palestinian,Rumelia,0.023694382001882903
Peloponnese,Rumelia,0.05688818508482813
Russia,Rumelia,0.006352572618627516
Sahara,Rumelia,0.012313469341538073
Sardinia,Rumelia,0.02271862576828761
